,Load,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
3,184.7747996429185,185.50845,185.53462,186.19853,188.47504,199.27618,206.19914,209.13382,210.20496,210.12729,208.84271,208.0275,207.03519,206.19214,206.62689,206.33713,203.32584,204.3698,204.41801,200.64241,197.78568,190.96588,187.22183,184.01974,183.48157
4,194.0425517327652,186.08821,183.8278,184.43054,188.82657,220.50195,303.05905,377.6752,399.56818,406.03403,404.86414,387.32828,392.75168,392.79126,382.93384,351.53082,320.4377,320.6648,352.91776,349.78253,328.38528,282.367,247.0431,206.90239,195.46724
5,153.9602968316656,154.57164,154.5934,155.14659,157.03908,166.04329,171.81175,174.24742,175.14955,175.08482,174.01445,173.33514,172.50833,171.80592,172.16815,171.92671,169.41757,170.28752,170.3277,167.18173,164.80138,159.11894,155.99924,153.33116,152.89235
6,64.56250269895125,64.818855,64.82799,65.03923,65.855415,69.62945,72.05299,73.073845,73.4481,73.42098,72.97213,72.65919,72.34053,72.045975,72.197876,72.09666,71.04444,71.41038,71.42609,70.10681,69.108665,66.725746,65.417496,64.29808,64.11467
7,247.2282587667932,237.60628,235.26907,237.09941,240.90341,282.17834,376.2779,473.23395,491.41577,505.4338,502.8657,481.60306,488.74307,487.17175,476.21463,433.0414,395.96396,393.43292,430.53934,428.98657,400.10852,340.16547,307.28207,261.01047,250.21533
9,95.03312334513198,95.41045,95.42388,95.734856,96.936195,102.49144,106.06096,107.555504,108.11235,108.072395,107.411705,106.99241,106.48206,106.04847,106.27207,106.12304,104.574234,105.1108,105.136,103.194115,101.72486,98.21733,96.29166,94.64478,94.37394
10,105.91811553306484,99.240005,96.82982,97.66302,102.821686,126.30622,189.93568,249.778,262.51575,270.96555,265.4532,254.36908,258.53653,258.95053,248.53761,226.20009,203.9342,207.05385,238.97302,236.51822,213.9057,178.85872,150.06015,117.02543,108.57167
11,374.0738237651835,359.14365,351.2538,351.32245,361.45673,431.78897,611.21674,762.74225,799.517,813.974,818.3832,796.4832,790.64276,789.1988,772.71515,693.58124,623.0498,629.6827,691.9285,691.66046,639.5779,532.73553,476.37405,399.81372,378.7224
12,177.91366481208834,172.17091,170.66144,171.87723,174.56438,203.14322,266.77396,327.45248,343.469,352.57376,351.49142,336.9449,341.59628,340.9798,332.8167,306.74814,277.17157,264.54013,299.0942,298.79385,277.7829,237.7855,216.04213,185.74963,178.58142
13,285.54239669684046,286.67612,286.71664,287.79794,290.85394,307.97025,318.6505,323.18567,324.49484,324.72095,322.7359,321.47595,319.94257,318.63974,319.31158,318.86377,314.21024,315.82358,315.89822,310.06354,305.64883,295.1098,289.32385,284.37558,283.5439
14,117.88477288035536,118.34828,118.35687,118.75525,120.24549,127.13166,131.55331,133.41827,134.109,134.05946,133.23987,132.71974,132.08669,131.54889,131.82625,131.64136,129.72012,130.38568,130.41702,128.00815,126.1856,121.834625,119.44592,117.403046,117.059685
15,157.17971645511724,157.80383,157.82603,158.34032,160.10349,169.51537,175.4044,177.89102,178.81207,178.746,177.65915,176.95976,176.1156,175.3985,175.76833,175.52185,172.96019,173.84763,173.88936,170.67764,168.2475,162.44621,159.2613,156.53743,156.07962
16,219.0798725192097,216.48276,215.57465,215.8007,222.61263,243.15541,265.7647,274.75858,278.69763,278.16394,274.82623,274.75244,272.39975,272.71295,270.14676,274.7406,291.5233,305.30765,315.52905,311.46954,300.2424,278.94183,255.59772,231.0156,219.28369
17,317.5297430369416,318.7782,318.83545,319.97635,323.8885,342.44977,354.01056,359.37015,361.23065,361.09726,358.9017,357.48874,355.78354,354.33472,355.08188,354.55283,349.409,351.20325,351.28595,344.79776,339.8885,328.16888,321.73486,316.23227,315.3073
18,705.9132500500953,676.07495,666.4839,668.26825,691.2915,793.2272,1120.7021,1390.5897,1452.7758,1492.4349,1478.8129,1415.4547,1440.5541,1437.5854,1397.2566,1276.6583,1161.6575,1166.9619,1291.196,1275.9197,1207.109,1021.14197,901.6305,755.21643,718.9303
20,252.70532302201948,253.69894,253.77599,254.70146,257.36618,272.53784,282.00607,286.00385,287.48465,287.40625,285.6216,284.50656,283.1496,282.01053,282.5912,282.17,278.07632,279.50314,279.57022,274.40646,270.4994,261.1726,256.05203,251.6727,250.9366
23,914.8476912704408,876.31805,863.05994,867.2869,884.6295,1042.9142,1476.606,1837.6534,1912.0094,1976.9573,1968.3768,1870.3535,1906.6488,1900.6216,1845.6724,1695.0304,1529.7264,1532.6987,1703.5082,1684.8254,1581.8055,1343.7378,1178.1212,984.4545,935.5869
24,125.84762615638488,126.34729,126.38081,126.77434,128.18858,135.72427,140.43436,142.4382,143.16777,143.11487,142.23997,141.6847,141.00883,140.43474,140.73508,140.5164,138.48242,139.19577,139.22636,136.65482,134.70918,130.0643,127.51425,125.33337,124.966805
25,182.9685582626172,180.91348,180.57173,180.80513,184.55518,202.62004,219.518,227.1003,229.2077,229.05698,226.05907,225.82825,224.91129,224.53723,222.85332,225.52939,237.79433,247.21817,254.46078,252.09074,242.24883,227.52344,208.83807,191.06407,182.52261
26,148.4550606180002,143.2944,141.27133,140.6325,144.20013,171.73222,237.21364,298.58206,319.63373,321.98035,323.28104,307.10516,312.6263,312.64792,305.6337,275.87546,247.73541,247.53802,273.37354,272.8946,253.0899,208.57095,187.09253,158.81363,148.7088
27,702.3690355542886,686.29706,681.0482,682.8795,705.1917,801.87177,977.17664,1152.1616,1187.6036,1208.9132,1189.6808,1158.2035,1174.7866,1180.0144,1151.131,1075.9263,1010.4839,1009.63403,1079.5884,1082.3632,1022.73016,906.2499,816.8298,731.30194,702.148
29,196.47466002987912,197.2548,197.2826,198.02666,200.4092,211.89421,219.2695,222.37611,223.51508,223.4325,222.06653,221.11426,220.14455,219.24815,219.71042,219.37567,216.20032,217.31386,217.36171,213.34703,210.30939,203.05775,199.0766,195.67181,195.09952
30,1189.3677121834648,1143.6824,1125.7896,1136.5546,1151.1674,1415.2528,1956.8552,2501.8894,2613.5098,2689.2686,2666.3616,2549.7458,2604.3796,2629.989,2521.3206,2232.2253,1923.8525,1863.6921,2146.0068,2122.9746,1982.0206,1610.801,1440.474,1251.9412,1207.0752
31,326.2313789895566,327.51407,327.5728,328.80838,332.75507,351.83444,364.05734,369.2183,371.12985,370.99286,368.72482,367.28546,365.53345,364.04498,364.8126,364.25677,358.9843,360.8261,360.91278,354.2467,349.20294,337.16223,330.55176,324.89832,323.948
32,142.77119834842023,143.33806,143.35832,143.89897,145.42697,153.98512,159.32526,161.59283,162.24742,162.36047,161.36795,160.73798,159.97128,159.31987,159.65579,159.43188,157.10512,157.91179,157.94911,155.03177,152.82442,147.5549,144.66193,142.18779,141.77196
