Type,PU Volt,Angle (Deg),Gen MW,Gen Mvar,Load MW,Load Mvar,Gen Mvar(max),Gen Mvar(min),"Slack yes,no",Slack Weight
1,1,0,-1.90014,-0.368571,0,0,50,-50,1,1,
3,1.04028,-2.46928,0,0,0,0,0,0,0,0,
2,1.03882,-2.8497,0.0948412,0.159575,1.8549,0.609675,10,-10,0,0,
2,1.04161,-1.97729,1.26e-06,15.6974,1.66257,0.676603,20,-20,0,0,
3,1.04825,-0.347621,1.54556,0.508001,1.54556,0.508001,0,0,0,0,
3,1.04161,-2.17371,0.113155,0.213028,0.113155,0.213028,0,0,0,0,
2,1.04896,-0.316284,4.78e-05,1.13659,1.8791,0.860602,40,-40,0,0,
3,1.04548,-1.35775,0,0,0,0,0,0,0,0,
2,1.04793,-0.366749,0.500017,0.025661,0.710478,0.313567,20,-20,0,0,
2,1.04375,-1.94118,0.48,0.29188,1.12837,0.378238,10,-10,0,0,
2,1.01713,0.262102,4.8363,1.80701,3.95088,1.31381,30,-30,0,0,
2,1.01937,1.32952,5.22085,0.48589,1.36604,0.61777,40,-40,0,0,
2,1.01765,0.455083,5.24613,2.71714,2.21497,0.942163,40,-40,0,0,
2,1.01385,0.206639,0.829535,-7.10289,0.655602,0.388967,10,-10,0,0,
2,1.01195,0.139962,1.20947,0.166351,1.57788,0.518623,10,-10,0,0,
2,1.02123,0.183551,2.321,1.28915,1.92123,0.725449,40,-40,0,0,
2,1.02212,-2.54936,0.25,-0.0310289,3.18758,1.04771,10,-10,0,0,
3,1.02649,-2.00711,7.42506,2.46411,7.42506,2.46411,0,0,0,0,
2,1.04913,0.13172,3.02e-05,20,0,0,20,-20,0,0,
3,1.01921,-1.07919,2.53683,0.833815,2.53683,0.833815,0,0,0,0,
3,1.03152,-0.373168,0,0,0,0,0,0,0,0,
2,1.04017,0.215659,15.8,-40,-3.6938,1.13e-20,40,-40,0,0,
2,1.01707,0.0684088,12.0299,2.28535,9.44695,3.20175,50,-50,0,0,
2,1.03032,-1.33937,0.829979,-0.433272,1.26334,0.415241,20,-20,0,0,
2,1.01463,0.191559,2.19966,-0.153528,1.84242,0.605575,30,-30,0,0,
2,1.02826,-0.193347,0.974941,-0.00423105,0.765159,0.521269,20,-20,0,0,
2,1.01864,-2.295,2.29999,1.47591,7.2815,2.39859,10,-10,0,0,
3,1.04724,-0.0634199,0,0,0,0,0,0,0,0,
2,1.00003,0.0076784,18.0104,-2.95661,1.97235,0.648279,70,-70,0,0,
2,1.01853,0.252944,10.9686,3.04488,12.2617,4.206,30,-30,0,0,
2,1.01804,0.533416,0.569848,0.624097,3.16353,1.07642,20,-20,0,0,
3,1.01702,0.401154,1.43324,0.471082,1.43324,0.471082,0,0,0,0,
3,1.01842,0.0986249,11.4203,4.00797,11.4203,4.00797,0,0,0,0,
2,1.02091,0.103794,1.11944,10.617,1.87704,0.616953,10,-10,0,0,
3,1.0356,-0.599949,2.74026,0.915595,2.74026,0.915595,0,0,0,0,
3,1.04895,-0.317531,0,0,0,0,0,0,0,0,
3,1.04017,0.215659,0,0,0,0,0,0,0,0,
2,1.04963,0.131159,-1.90014,-0.368571,0,0,50,-50,1,1,
2,1.04714,-0.0625192,-1.90014,-0.368571,0,0,50,-50,1,1,
2,1.03032,-1.33937,-1.90014,-0.368571,0,0,50,-50,1,1,
2,1.02587,-2.00517,-1.90014,-0.368571,0,0,50,-50,1,1,
2,1.01864,-2.295,-1.90014,-0.368571,0,0,50,-50,1,1,
2,1.01864,-2.295,-1.90014,-0.368571,0,0,50,-50,1,1,
2,1.01864,-2.295,-1.90014,-0.368571,0,0,50,-50,1,1,
2,1.01804,0.533416,-1.90014,-0.368571,0,0,50,-50,1,1,
2,1,0.617832,0.15,-2.12933,0,0,1000,-1000,0,0,
2,1,-1.15679,1.2,-14.8923,0,0,1000,-1000,0,0,
