From Bus,To Bus,Loading (%),Direction
44,27,0.00,1
3,2,7.78,-1
4,8,9.57,-1
4,6,4.35,-1
4,47,51.03,1
6,2,4.39,1
7,9,2.19,1
8,36,16.83,-1
8,7,16.89,-1
8,10,14.20,1
9,5,0.66,-1
10,3,8.44,1
11,16,6.51,-1
12,31,20.42,1
13,30,10.61,-1
13,32,10.76,1
13,46,23.09,1
14,32,6.05,-1
15,25,7.55,-1
16,26,10.99,-1
17,18,13.30,-1
18,24,12.20,-1
18,41,0.82,1
19,28,4.59,1
21,35,10.32,-1
22,19,271.85,-1
23,20,16.62,-1
23,31,7.54,-1
25,11,15.70,-1
25,14,1.74,1
25,23,4.79,-1
25,30,6.27,-1
26,21,7.82,-1
27,17,3.23,-1
27,20,22.13,-1
27,42,0.00,1
27,43,0.00,1
28,39,0.70,1
29,15,7.20,-1
30,16,19.10,-1
31,45,0.00,1
33,29,14.88,1
34,14,19.33,1
34,33,14.49,1
35,24,13.61,1
35,28,5.82,-1
1,29,57.30,-1
37,22,0.00,1
38,19,216.06,1
40,24,0.00,-1
36,7,4.74,-1
19,36,0.08,1
21,2,3.50,-1
28,5,0.48,-1
