Type,PU Volt,Angle (Deg),Gen MW,Gen Mvar,Load MW,Load Mvar,Gen Mvar(max),Gen Mvar(min),"Slack yes,no",Slack Weight
1,1,0,0,,0,0,50,-50,1,1
3,1.029049264,-2.111440456,0,,0,0,,,0,0
2,1.031063743,-1.972398432,1.073639912,,1.847747996,0.607325397,10,-10,0,0
2,1.0325316,-1.669873991,1.43E-06,,1.75079811,0.637787025,20,-20,0,0
3,1.0353988,0.826488313,0,,1.539602968,0.506043024,,,0,0
3,1.030620017,-1.900821771,0,,0.235373892,0.212206684,,,0,0
2,1.038636959,1.457308013,7.42E-05,,2.158964127,0.81259999,40,-40,0,0
3,1.035664323,-0.207748921,0,,0,0,,,0,0
2,1.037715039,1.106992915,0.50002769,,0.791400538,0.312358771,20,-20,0,0
2,1.034367028,-0.840885825,0.479999718,,1.031992049,0.34813601,10,-10,0,0
2,1.014350999,-2.060252008,4.623483774,,3.736904661,1.2295212,30,-30,0,0
2,1.016605689,-2.010414241,5.483373513,,1.671755601,0.584773937,40,-40,0,0
2,1.014702474,-2.117140406,5.330761094,,2.812577372,0.938532471,40,-40,0,0
2,1.011553343,-2.330411816,0.82955682,,1.153748561,0.387468511,10,-10,0,0
2,1.010035805,-1.828996064,1.254276712,,1.571797165,0.516624745,10,-10,0,0
2,1.017660694,-2.126612812,2.37662899,,2.070633958,0.720080719,40,-40,0,0
2,1.01724234,-8.174057276,0.249999781,,3.17529743,1.043669795,10,-10,0,0
3,1.017198962,-7.930780388,0,,7.036387459,2.320224649,,,0,0
2,1.039893104,2.816640366,4.66E-05,,0,0,20,-20,0,0
3,1.013365694,-5.423367725,0,,2.52705323,0.83060223,,,0,0
3,1.025609729,-2.395906648,0,,0,0,,,0,0
2,1.040005321,2.917389857,15.80006751,,-0.844493745,2.70E-20,40,-40,0,0
2,1.014392946,-3.163882292,12.02987553,,9.138681435,3.006958948,50,-50,0,0
2,1.024204163,-5.480702292,0.829977757,,1.258476262,0.413641144,20,-20,0,0
2,1.012276999,-2.21236352,2.199620717,,1.829685583,0.601388568,30,-30,0,0
2,1.023364942,-2.188848435,2.564887725,,0.894956829,0.487948188,20,-20,0,0
2,1.014954825,-7.153926569,2.299985388,,7.020125615,2.30857538,10,-10,0,0
3,1.03743448,1.2915278,0,,0,0,,,0,0
2,1.000029933,-0.000104007,18.0104048,,1.9647466,0.645780978,70,-70,0,0
2,1.015458499,-2.164292788,10.96772492,,11.66747446,3.909262622,30,-30,0,0
2,1.015289457,-2.79722708,0.569830319,,3.251957582,1.072270689,20,-20,0,0
3,1.013789274,-2.221272195,0,,1.427711983,0.469266236,,,0,0
3,1.006395211,-2.461465499,0,,11.26277696,3.70609434,,,0,0
2,1.009631331,-2.442939157,1.11945481,,1.855025405,0.609717365,10,-10,0,0
3,1.026832791,-2.81073047,0,,2.517487821,0.842356226,,,0,0
3,1.038654697,1.466237907,0,,0,0,,,0,0
3,1.040005324,2.917389844,0,,0,0,,,0,0
2,1.039893115,2.816640328,0,,0,0,50,-50,1,1
2,1.037787938,1.289811576,0,,0,0,50,-50,1,1
2,1.024204128,-5.480702092,0,,0,0,50,-50,1,1
2,1.020368183,-7.940842914,0,,0,0,50,-50,1,1
2,1.014954723,-7.153925882,0,,0,0,50,-50,1,1
2,1.014954806,-7.153926431,0,,0,0,50,-50,1,1
2,1.014954868,-7.153926773,0,,0,0,50,-50,1,1
2,1.015289451,-2.797227047,0,,0,0,50,-50,1,1
2,1,,,,0,0,1000,-1000,0,0
2,1,,,,0,0,1000,-1000,0,0
1,1,0,,,0,0,50,-50,1,1
3,1.027921147,-2.151758447,0,,0,0,,,0,0
2,1.029835061,-2.005481495,1.112540909,,1.854688881,0.609606755,10,-10,0,0
2,1.031199458,-1.738048058,2.70E-06,,1.719350221,0.623023673,20,-20,0,0
3,1.033956856,0.729501288,0,,1.545386336,0.507943925,,,0,0
3,1.029328617,-1.979271988,0,,0.318636135,0.213003818,,,0,0
2,1.037174357,1.363932114,0.000143386,,2.006458555,0.796960579,40,-40,0,0
3,1.034292004,-0.277579418,0,,0,0,,,0,0
2,1.036258544,1.018781557,0.500053609,,0.754092273,0.313532116,20,-20,0,0
2,1.033026667,-0.889813996,0.479999468,,0.99178833,0.334890568,10,-10,0,0
2,1.013775249,-2.081155868,4.468434043,,3.6526242,1.200985602,30,-30,0,0
2,1.015971778,-2.025510981,5.322141501,,1.598223301,0.575243739,40,-40,0,0
2,1.014130456,-2.125366817,5.279611419,,2.837143489,0.942057977,40,-40,0,0
2,1.011100601,-2.325721552,0.829074492,,1.158507905,0.388923998,10,-10,0,0
2,1.009614283,-1.856150084,0.877960574,,1.577701467,0.518565395,10,-10,0,0
2,1.01696599,-2.146503759,2.302682257,,2.085410195,0.712055663,40,-40,0,0
2,1.016408705,-8.108861256,0.249999587,,3.187225125,1.047590238,10,-10,0,0
3,1.016365569,-7.863396596,0,,6.878140001,2.266654937,,,0,0
2,1.038412074,2.681748404,9.01E-05,,0,0,20,-20,0,0
3,1.012756884,-5.375286037,0,,2.536545859,0.833722306,,,0,0
3,1.024653673,-2.416418677,0,,0,0,,,0,0
2,1.038521314,2.780000167,15.80013069,,-0.385494606,-1.20E-19,40,-40,0,0
2,1.013854076,-3.132303077,12.02975823,,8.908911607,2.933627843,50,-50,0,0
2,1.02319139,-5.454669027,0.82995755,,1.263203605,0.415194946,20,-20,0,0
2,1.011788837,-2.219022046,2.1992681,,1.813043437,0.59591856,30,-30,0,0
2,1.022467178,-2.207818036,2.688744417,,1.005425542,0.477163413,20,-20,0,0
2,1.014273872,-7.085585592,2.299972033,,6.930752755,2.279427323,10,-10,0,0
3,1.036054418,1.187850888,0,,0,0,,,0,0
2,1.000028955,-0.000100609,18.01076323,,1.972126979,0.648206791,70,-70,0,0
2,1.014860717,-2.170219258,10.94804069,,11.53307609,3.838918476,30,-30,0,0
2,1.014687169,-2.795174241,0.569668869,,3.255921312,1.076298569,20,-20,0,0
3,1.013241955,-2.227009884,0,,1.433075044,0.471028988,,,0,0
3,1.00610902,-2.439113734,0,,11.02825517,3.631810931,,,0,0
2,1.009255232,-2.424791395,1.118746616,,1.800337348,0.59174227,10,-10,0,0
3,1.02586369,-2.826348485,0,,2.427822375,0.81113484,,,0,0
3,1.037191802,1.372555061,0,,0,0,,,0,0
3,1.038521318,2.780000155,0,,0,0,,,0,0
2,1.038412108,2.681748293,0,,0,0,50,-50,1,1
2,1.036376,1.186287368,0,,0,0,50,-50,1,1
2,1.023191332,-5.454668699,0,,0,0,50,-50,1,1
2,1.019438398,-7.873161046,0,,0,0,50,-50,1,1
2,1.014273694,-7.085584371,0,,0,0,50,-50,1,1
2,1.014273842,-7.085585359,0,,0,0,50,-50,1,1
2,1.014273953,-7.085585974,0,,0,0,50,-50,1,1
2,1.01468716,-2.795174184,0,,0,0,50,-50,1,1
2,1,,,,0,0,1000,-1000,0,0
2,1,,,,0,0,1000,-1000,0,0
1,1,0,0,,0,0,50,-50,1,1
3,1.027607853,-2.204429054,0,,0,0,,,0,0
2,1.029537013,-2.045303542,1.147860838,,1.856139215,0.610083457,10,-10,0,0
2,1.030824572,-1.839483154,5.24E-07,,1.749476961,0.613014939,20,-20,0,0
3,1.033619403,0.693180892,0,,1.546594801,0.508341128,,,0,0
3,1.028918536,-2.097325674,0,,0.459598891,0.213170383,,,0,0
2,1.036870631,1.326325183,2.72E-05,,1.895832883,0.785557976,40,-40,0,0
3,1.033968521,-0.333826704,0,,0,0,,,0,0
2,1.035950275,0.986218779,0.500010146,,0.729975836,0.313777293,20,-20,0,0
